TreeSHAP::dX,TreeSHAP::VEC,TreeSHAP::sigma,TreeSHAP::dHmix,TreeSHAP::dSmix,base_value_K,fitted_TC_K,observed_TC_K,reference_id
-1.5343886016327943,92.4247521169951,45.04035594773573,-16.80111725128879,-7.167004164181089,209.0496451227669,321.01224317039527,321.0,[32]
-15.630253883978417,-59.02886551536467,-49.412340365615066,5.253707619906209,3.912520178363968,209.0496451227669,94.14441315607884,94.0,[33]
-28.471335624479757,-75.86259156019754,-50.379328450046366,0.502759517885377,-21.095687729477856,209.0496451227669,33.743461276451114,33.6,[33]
-20.888797512372278,-89.6472516821134,-60.63398523565336,3.444146636837975,39.00013955509513,209.0496451227669,80.32389688456131,81.0,[33]
-26.13575779141062,-74.34110520483297,-32.077911300910905,23.64802729411153,-2.9854451210567325,209.0496451227669,97.15745299866774,97.0,[33]
-16.139676724662806,-70.37333828823563,-48.12093488520821,6.588016018914786,18.602716530344743,209.0496451227669,99.60642777392009,100.0,[33]
-15.159727374288483,30.147712109408808,-97.59522272585833,-43.24628745312494,-46.21582761236822,209.0496451227669,36.98029206653568,36.0,[33]
-16.042043645387544,-6.404859284290135,-82.81369838185053,-42.55582237113227,-15.030121543061576,209.0496451227669,46.20309989704442,48.0,[33]
0.2361811346590297,3.4904924962145882,-49.91111919983451,-0.36858169334890345,-2.322186471941995,209.0496451227669,160.1744313885147,171.0,[33]
-15.527378105658235,1.199694735854939,-82.63977529009135,-32.569745594713034,-12.205304019076753,209.0496451227669,67.30713684908241,65.0,[33]
6.899386983748441,14.74546504300805,-85.58476106607084,-27.834025837557647,-12.196439982034958,209.0496451227669,105.07927026386007,100.0,[33]
7.7372542086056555,7.414902800854453,-53.89836251139149,-22.025582299591164,-20.285742988409606,209.0496451227669,127.99211433283465,131.0,[33]
0.2361811346590297,3.4904924962145882,-49.91111919983451,-0.36858169334890345,-2.322186471941995,209.0496451227669,160.1744313885147,148.0,[33]
12.760877509489895,-31.090121064497747,18.281077960701044,-36.11225582803508,-24.31952440139783,209.0496451227669,148.56969929902672,150.0,[33]
2.2890056487478994,18.954422223071187,-40.05407083839223,3.104739001200545,-0.9095486204681797,209.0496451227669,192.43419253692562,193.0,[33]
17.098851939071285,-6.450415192997625,-12.239521413735298,-20.163016065579967,22.329781818975096,209.0496451227669,209.6253262085007,210.0,[33]
63.854525326275045,141.50354266914897,97.22640187762669,40.92084639248626,7.309992178288331,209.0496451227669,559.8649535665933,560.0,[33]
45.45628751572657,90.00569043013697,85.8473353554019,31.85081857072479,-7.1437389257693855,209.0496451227669,455.06603806898823,455.0,[33]
95.54077156675011,142.82708189932717,119.06856675037476,47.57038291047079,70.31622553073716,209.0496451227669,684.3726737804287,685.0,[33]
28.83686348337718,47.67131709822496,74.22241983662747,27.763052618418865,64.59870386647067,209.0496451227669,452.1420020258862,442.0,[34]
28.83686348337718,47.67131709822496,74.22241983662747,27.763052618418865,64.59870386647067,209.0496451227669,452.1420020258862,462.0,[34]
-8.386837992247878,15.645696755929805,-32.13797234856229,2.4056664680149367,84.50055155704942,209.0496451227669,271.07674956295136,270.0,[35]
45.45628751572657,90.00569043013697,85.8473353554019,31.85081857072479,-7.1437389257693855,209.0496451227669,455.06603806898823,455.0,[35]
43.665506016861556,-45.14737233359891,55.727906678207646,24.338006487998474,-19.507249940046545,209.0496451227669,268.126442032189,268.0,[36]
43.665506016861556,-45.14737233359891,55.727906678207646,24.338006487998474,-19.507249940046545,209.0496451227669,268.126442032189,268.0,[36]
14.423496579849054,18.45771575910379,50.434034035853806,9.403606658108835,-22.644337485655363,209.0496451227669,279.1241606700271,280.0,[36]
14.423496579849054,18.45771575910379,50.434034035853806,9.403606658108835,-22.644337485655363,209.0496451227669,279.1241606700271,280.0,[36]
19.947138357459618,26.35400641752744,52.98274662599201,10.17284239340028,-17.662585035488043,209.0496451227669,300.8437938816583,300.0,[36]
19.947138357459618,26.35400641752744,52.98274662599201,10.17284239340028,-17.662585035488043,209.0496451227669,300.8437938816583,300.0,[36]
23.434744166961767,27.405983105772613,54.01370607443052,13.629231007286762,-17.650953997695062,209.0496451227669,309.88235547952354,310.0,[36]
23.434744166961767,27.405983105772613,54.01370607443052,13.629231007286762,-17.650953997695062,209.0496451227669,309.88235547952354,310.0,[36]
-4.644297879022038,37.384999471408406,55.36098185430742,19.210674614720592,44.71247324217203,209.0496451227669,361.0744764263526,361.0,[37]
-4.644297879022038,37.384999471408406,55.36098185430742,19.210674614720592,44.71247324217203,209.0496451227669,361.0744764263526,361.0,[37]
-0.17980768895245264,40.79189689408623,63.070952359389594,20.192627621112347,54.12518726237758,209.0496451227669,387.05050157077983,387.0,[37]
-0.17980768895245264,40.79189689408623,63.070952359389594,20.192627621112347,54.12518726237758,209.0496451227669,387.05050157077983,387.0,[37]
14.693756710225225,18.810849883224616,52.43541654258313,12.392072611715713,-23.017465541675552,209.0496451227669,284.36427532884034,282.8,[38]
22.384277797253294,26.992685365063984,56.11988444049638,14.030394615370234,-16.773108763432273,209.0496451227669,311.8037785775187,313.7,[38]
29.431069007101794,28.88825615964189,61.07357555733368,17.7801793583692,0.0018952972952754864,209.0496451227669,346.22462050250914,345.8,[38]
-28.549236688180223,-106.7301212514182,-63.360192728999145,-21.085594417310425,26.060670598358318,209.0496451227669,15.385170635217202,15.0,[39]
-29.792630215779912,-79.56850077073517,-53.52130567869574,-23.474032872348925,-12.505155816779727,209.0496451227669,10.188019768427656,10.0,[39]
-28.782501178278565,-81.95858784369265,-59.30467317331437,-17.95842823002309,1.3414646534776546,209.0496451227669,22.386919350935827,22.0,[39]
6.899386983748441,14.74546504300805,-85.58476106607084,-27.834025837557647,-12.196439982034958,209.0496451227669,105.07927026386007,103.0,[40]
4.277933946511663,8.886333293594182,-60.21555224107982,-22.699933251946906,-36.25937373203027,209.0496451227669,103.03905313781593,102.0,[40]
5.498264768204034,-16.980145838995554,-27.589905647385674,-33.407110807608284,-15.053488103148505,209.0496451227669,121.51725949383273,121.0,[40]
8.534555433523552,-24.052506029464933,-25.136509809510184,-28.683300460926066,-9.313761221380545,209.0496451227669,130.39812303500864,131.0,[40]
5.266072670146407,-3.81975429846599,-16.00260339907066,-23.476054546117226,-10.544241384669531,209.0496451227669,160.47306416459006,160.0,[40]
