feature_set,model,fold,n_train,n_test,n_train_references,n_test_references,inner_best_r2,r2,rmse,mae
hea,GradientBoosting,5,127,14,38,4,0.6328505736139262,0.8854247213257372,37.66459872152976,21.00636334786002
hea,GradientBoosting,6,127,14,37,5,0.5713925561265718,0.6062078978929335,81.03620677156198,45.25477118064485
hea,GradientBoosting,7,127,14,38,4,0.8290260153353071,0.19326134825748875,213.28628098549007,132.14392191324347
hea,GradientBoosting,8,128,13,38,4,0.641036895068772,0.6440441553351168,81.82917496281392,64.68107316857146
hea,GradientBoosting,9,129,12,38,4,0.6254665441516609,0.965996166649867,26.699949370645395,21.456870134170853
hea,GradientBoosting,10,129,12,38,4,0.6248265185421513,0.4368999026482814,81.74730386171927,70.8021590467906
hea,SVR,1,126,15,37,5,0.5586306600211357,-0.04332747385588176,106.01918827063376,70.36060563408188
hea,SVR,2,127,14,36,6,0.38380241346501004,0.348970502761774,125.95155892246468,74.48658015628487
hea,SVR,3,122,19,40,2,0.39291544386623356,0.2524596675613393,153.72181685103982,114.38329233276521
hea,SVR,4,127,14,38,4,0.5360228550050627,-1.1442430017646394,141.1690581655643,129.45777306077295
hea,SVR,5,127,14,38,4,0.44713281113104986,0.9359066201942399,28.170494496255767,20.980183646895487
hea,SVR,6,127,14,37,5,0.4752249325696475,0.9497707821476261,28.941684899051857,20.919192792822223
hea,SVR,7,127,14,38,4,0.6171582042194255,-0.1715229095908437,257.0229370527868,154.8090542466558
hea,SVR,8,128,13,38,4,0.5480214239762675,0.7217553462672923,72.34749900907562,40.280407790830196
hea,SVR,9,129,12,38,4,0.3993958343595996,0.8727657107390072,51.647414145606774,46.74297948555332
hea,SVR,10,129,12,38,4,0.5552344808168153,0.13439281109183066,101.35403989805226,80.32184131561966
hea,XGBoost,1,126,15,37,5,0.5382445277825617,0.8198210308636988,44.05814437998459,27.90249048868815
hea,XGBoost,2,127,14,36,6,0.45166151705800467,0.9034860337236787,48.49514875045228,38.10524422781808
hea,XGBoost,3,122,19,40,2,0.5104372854972403,0.5203105960106222,123.13974694275718,80.79983713250412
hea,XGBoost,4,127,14,38,4,0.5596129582308269,0.39925442992049776,74.72188256060475,64.7128904070173
hea,XGBoost,5,127,14,38,4,0.5978992339635653,0.8027576601075855,49.418317657691404,30.961382729666575
hea,XGBoost,6,127,14,37,5,0.5030401322603771,0.7959739090897493,58.32952736271905,38.44189965384347
hea,XGBoost,7,127,14,38,4,0.8033998648464322,0.2522502633396402,205.3405039410215,145.1665984562465
hea,XGBoost,8,128,13,38,4,0.6411692644067838,0.6042820538028195,86.27857856397499,70.167725783128
hea,XGBoost,9,129,12,38,4,0.6214503352188012,0.9453678773896635,33.843131038056725,28.675504048665363
hea,XGBoost,10,129,12,38,4,0.6076267657213237,0.6253571035691121,66.6790475853383,52.08762296040853
hea,LightGBM,1,126,15,37,5,0.6061948240924283,0.8999259865287046,32.834832988715256,28.572858599897405
hea,LightGBM,2,127,14,36,6,0.5193958849300773,0.8386339061443623,62.70603740635658,47.453191171861874
hea,LightGBM,3,122,19,40,2,0.6274179320381796,0.6359822415706587,107.2702961500051,69.04755237269097
hea,LightGBM,4,127,14,38,4,0.5584246278974293,-0.0721174324885141,99.82140892523158,90.71685007042974
hea,LightGBM,5,127,14,38,4,0.6162336438093325,0.8606444689182807,41.538421516167574,27.90760189679563
hea,LightGBM,6,127,14,37,5,0.46122591800557966,0.8640059889889176,47.62176577075021,32.45422355017135
hea,LightGBM,7,127,14,38,4,0.8104088522150656,0.2548450723203659,204.98391242177053,120.62983788986271
hea,LightGBM,8,128,13,38,4,0.6643837021577153,0.7979220057280743,61.65518704572696,42.95825699673866
hea,LightGBM,9,129,12,38,4,0.619670525014161,0.8561688456642563,54.91272316951581,49.940677008951674
hea,LightGBM,10,129,12,38,4,0.6331613463976141,0.45709519460958836,80.26800694765497,63.683403292993965
