TC,H,dS,dS_ref,RC,dX,VEC,δ,dHmix,dSmix,nunfilled_mean,mag_moment_mean,avg_d_valence_electrons,bandgap_mean,melting_point_mean,electronegativity_range
59,0.5,2.18,17.836499308404047,0,0.2937618082733015,4.2,14.10160308044423,-34.5856,13.33321970545945,5.385761,0.3325790958648001,1.583946,0,1267.77446568,0.6799999999999999
59,1,3.11,13.515040257251073,0,0.2937618082733015,4.2,14.10160308044423,-34.5856,13.33321970545945,5.385761,0.3325790958648001,1.583946,0,1267.77446568,0.6799999999999999
59,2,4.73,10.917467865710966,0,0.2937618082733015,4.2,14.10160308044423,-34.5856,13.33321970545945,5.385761,0.3325790958648001,1.583946,0,1267.77446568,0.6799999999999999
59,3,6.26,9.979060558601118,0,0.2937618082733015,4.2,14.10160308044423,-34.5856,13.33321970545945,5.385761,0.3325790958648001,1.583946,0,1267.77446568,0.6799999999999999
59,4,7.64,9.366082244757324,0,0.2937618082733015,4.2,14.10160308044423,-34.5856,13.33321970545945,5.385761,0.3325790958648001,1.583946,0,1267.77446568,0.6799999999999999
59,5,8.8,8.8,0,0.2937618082733015,4.2,14.10160308044423,-34.5856,13.33321970545945,5.385761,0.3325790958648001,1.583946,0,1267.77446568,0.6799999999999999
8,0.5,0.8,6.545504333359283,0,0.4322222526072669,2.379,55.35232330544859,-46.46056799999999,11.42810490452828,1.052076,0.003948601560000001,0.018806,7.759761331,28.89578775,1
8,1,2.3,9.995045849413977,0,0.4322222526072669,2.379,55.35232330544859,-46.46056799999999,11.42810490452828,1.052076,0.003948601560000001,0.018806,7.759761331,28.89578775,1
8,2,5.6,12.92554335052461,0,0.4322222526072669,2.379,55.35232330544859,-46.46056799999999,11.42810490452828,1.052076,0.003948601560000001,0.018806,7.759761331,28.89578775,1
8,3,8.7,13.86866243767248,0,0.4322222526072669,2.379,55.35232330544859,-46.46056799999999,11.42810490452828,1.052076,0.003948601560000001,0.018806,7.759761331,28.89578775,1
8,4,11.2,13.730382348335343,0,0.4322222526072669,2.379,55.35232330544859,-46.46056799999999,11.42810490452828,1.052076,0.003948601560000001,0.018806,7.759761331,28.89578775,1
8,5,13.6,13.6,0,0.4322222526072669,2.379,55.35232330544859,-46.46056799999999,11.42810490452828,1.052076,0.003948601560000001,0.018806,7.759761331,28.89578775,1
395,1.5,0.115,0.3451511608574964,16.5,0.1322328336071646,9.0696,3.104609091561312,2.1435828,13.37120502242268,3,0.8509677641379312,7.200000000000001,0,1636.754,0.3599999999999999
321,1.5,0.094,0.2821235575704753,15.3,0.1334026364956854,9.0486,3.132578261666334,1.99827936,13.37583627128567,3.02,0.8509693147413795,7.175000000000001,0,1637.56015,0.3599999999999999
297,1.5,0.1,0.3001314442239099,13.5,0.1345656165787991,9.029,3.160106011806786,1.85256376,13.3794276540517,3.04,0.8509708653448276,7.15,0,1638.3663,0.3599999999999999
279,1.5,0.084,0.2521104131480843,12.2,0.1356725984677819,9.008,3.18711129653619,1.7052056,13.37984513428206,3.06,0.8509724159482759,7.125,0,1639.17245,0.3599999999999999
264,1.5,0.081,0.243106469821367,9.6,0.1367729710140128,8.9876,3.213864742133598,1.55658504,13.37863008637263,3.08,0.8509739665517242,7.1,0,1639.9786,0.3599999999999999
299,1.5,0.105,0.3151380164351053,14,0.1335043848806655,9.0651,3.126313469066754,2.06758364,13.3708132532567,3.005,0.8404160007413795,7.195,0,1635.294,0.3599999999999999
292,1.5,0.071,0.213093325398976,10,0.134747850313094,9.0596,3.14753556178589,1.99199144,13.36793961159452,3.01,0.8298642373448275,7.190000000000001,0,1633.834,0.3599999999999999
138,2.5,7.3,13.744186296497316,0,0.1582829281797869,6.889500000000001,4.942517779660092,-31.78845,13.3017442275998,4,0,5,0.5780000000000001,1449.2,0.1099999999999999
178,2.5,7.47,14.064256388333554,0,0.1572454679283316,6.8899,5.017280865911683,-32.30279298,13.29562217569016,4,0,4.65,0.59165,1465.846,0.1099999999999999
200,2.5,13,24.475948199241795,0,0.1567922838790225,6.8899,5.048771003847606,-32.51466298,13.2885406119359,4,0,4.5,0.5975,1472.98,0.1099999999999999
651,0.3,2.4,31.302548304718048,0,0.0712460525222274,8.7,0.3190386801263031,-2.52,10.9238730689811,3.344651,1.272457685422,6.765266,0,1814.802876,0.25
736,0.3,1.86,24.25947493615649,0,0.1019264440662971,8.799999999999999,2.502345243896372,-2.64,10.9238730689811,3.224281775718225,1.280024092276718,6.775718224281776,0,1743.468967531033,0.3599999999999999
651,0.3,2.24,29.215711751070184,0,0.088106469682992,8.75,1.835629013881137,-2.56,11.50019029225766,3.284644999999999,1.276229491597259,6.770476,0,1779.241321,0.3599999999999999
113,2,0.34,0.7847651319961371,51,0.0946339533994009,8.3208,0.3025107344440896,-3.64845056,11.51595984585561,3.75,1.063632175,6.5,0,1871.75,0.25
120,2,0.36,0.8309277868194391,62,0.0919949889885313,8.6518,0.8689946326050682,0.91929284,13.20201534743588,3.444444444444444,0.9454508222222223,6.888888888888888,0,1814.641111111111,0.25
