feature,mean_abs_shap,rank,repeat,outer_fold
mag_moment_mean,1.530046279747374,2,2,5
melting_point_mean,0.8146395023682584,3,2,5
electronegativity_range,0.7421806042483567,4,2,5
dSmix,0.5294651415050003,5,2,5
dHmix,0.3151670490715524,6,2,5
dX,0.24289067065213718,7,2,5
VEC,0.23441273607410365,8,2,5
nunfilled_mean,0.2144900940505365,9,2,5
sigma,0.1607156496720098,10,2,5
bandgap_mean,0.007019186330720373,11,2,5
avg_d_valence_electrons,1.3645891117527509,1,2,6
melting_point_mean,1.3642646947736468,2,2,6
mag_moment_mean,1.3224317089945543,3,2,6
dSmix,0.8169771911396452,4,2,6
electronegativity_range,0.44461162079778815,5,2,6
nunfilled_mean,0.28857304542005513,6,2,6
VEC,0.26616273323094986,7,2,6
dHmix,0.2463012063914586,8,2,6
sigma,0.24543447624308318,9,2,6
dX,0.2049349279334128,10,2,6
bandgap_mean,0.02577285040202684,11,2,6
mag_moment_mean,1.8367223057965376,1,2,7
avg_d_valence_electrons,1.615011825998396,2,2,7
melting_point_mean,0.7594995460741758,3,2,7
nunfilled_mean,0.32391663111124325,4,2,7
VEC,0.31062989141899644,5,2,7
dX,0.3091795428348189,6,2,7
dHmix,0.29577131486596586,7,2,7
dSmix,0.21646104886211773,8,2,7
sigma,0.16817827477805078,9,2,7
bandgap_mean,0.06337563248188481,10,2,7
electronegativity_range,0.059170493292143675,11,2,7
mag_moment_mean,1.3132677392603682,1,2,8
avg_d_valence_electrons,1.2098961159814092,2,2,8
melting_point_mean,0.9510374947986294,3,2,8
dSmix,0.7397850359875744,4,2,8
dHmix,0.6150923055504021,5,2,8
dX,0.37789022234331754,6,2,8
VEC,0.37429858234184543,7,2,8
nunfilled_mean,0.2723486578258158,8,2,8
electronegativity_range,0.26586171943082054,9,2,8
sigma,0.16378757926041024,10,2,8
bandgap_mean,0.02864223710727371,11,2,8
VEC,1.3931182487294813,1,2,9
avg_d_valence_electrons,0.9245496585447368,2,2,9
mag_moment_mean,0.8889382352988298,3,2,9
dSmix,0.8218350650646002,4,2,9
melting_point_mean,0.7470078472134459,5,2,9
nunfilled_mean,0.5760808646985733,6,2,9
sigma,0.5367947048867879,7,2,9
dX,0.3872062705233992,8,2,9
dHmix,0.3763845011306089,9,2,9
electronegativity_range,0.29222039542150346,10,2,9
bandgap_mean,0.028943100821441897,11,2,9
mag_moment_mean,1.288461741375515,1,2,10
avg_d_valence_electrons,1.1753734762563524,2,2,10
melting_point_mean,0.9691612019783136,3,2,10
electronegativity_range,0.7875263903274574,4,2,10
dSmix,0.6809223519667199,5,2,10
dHmix,0.6593883948109331,6,2,10
nunfilled_mean,0.42407960679201717,7,2,10
dX,0.4213745934090009,8,2,10
VEC,0.1849561995417182,9,2,10
sigma,0.1642821151090922,10,2,10
bandgap_mean,0.07343610789438634,11,2,10
mag_moment_mean,2.380359440761779,1,3,1
melting_point_mean,0.8444687585579387,2,3,1
avg_d_valence_electrons,0.7462081678439585,3,3,1
dHmix,0.5649582316683279,4,3,1
dX,0.543962922434458,5,3,1
nunfilled_mean,0.3725789340226832,6,3,1
electronegativity_range,0.3378843120429828,7,3,1
VEC,0.3265928833703082,8,3,1
dSmix,0.2884274860831994,9,3,1
sigma,0.12242614247044224,10,3,1
bandgap_mean,0.04137132518812808,11,3,1
avg_d_valence_electrons,2.0570649373241556,1,3,2
melting_point_mean,0.9280298252740772,2,3,2
mag_moment_mean,0.8223451460568887,3,3,2
dHmix,0.6007231843141867,4,3,2
dSmix,0.5162365375193713,5,3,2
dX,0.43629539769748293,6,3,2
VEC,0.41187564040281777,7,3,2
electronegativity_range,0.3520179626892804,8,3,2
nunfilled_mean,0.2636504083678617,9,3,2
sigma,0.11238479736555017,10,3,2
bandgap_mean,0.09354158689915541,11,3,2
mag_moment_mean,1.485635474199287,1,3,3
avg_d_valence_electrons,1.3678984548977127,2,3,3
melting_point_mean,1.2543201718339938,3,3,3
dSmix,0.8449931398819721,4,3,3
dX,0.3275987638548913,5,3,3
VEC,0.2902664452351265,6,3,3
electronegativity_range,0.22149601227114787,7,3,3
dHmix,0.20906280147302103,8,3,3
nunfilled_mean,0.2035979515535921,9,3,3
sigma,0.14051156178602342,10,3,3
bandgap_mean,0.015279483850457697,11,3,3
mag_moment_mean,1.8035522162814503,1,3,4
avg_d_valence_electrons,1.0500346375835796,2,3,4
melting_point_mean,1.0256735486073343,3,3,4
dHmix,0.6133385830559108,4,3,4
nunfilled_mean,0.4742821784720217,5,3,4
VEC,0.37294642481977824,6,3,4
electronegativity_range,0.3278830597286587,7,3,4
dSmix,0.30440576739610153,8,3,4
dX,0.2849754892117031,9,3,4
sigma,0.09638700089409301,10,3,4
bandgap_mean,0.02673559980819505,11,3,4
avg_d_valence_electrons,2.0203944716121596,1,3,5
electronegativity_range,1.0930725477901848,2,3,5
melting_point_mean,0.9340081833124543,3,3,5
dSmix,0.5895393140039907,4,3,5
nunfilled_mean,0.503398184607009,5,3,5
dHmix,0.46768212152004807,6,3,5
VEC,0.41979344796621937,7,3,5
dX,0.41886793286371765,8,3,5
mag_moment_mean,0.3599920269533959,9,3,5
sigma,0.14591009164590882,10,3,5
bandgap_mean,0.0908887487622429,11,3,5
mag_moment_mean,1.5795056379402763,1,3,6
avg_d_valence_electrons,1.2603058042913666,2,3,6
melting_point_mean,1.1140375636209119,3,3,6
dHmix,0.47790722677497627,4,3,6
electronegativity_range,0.40763844852981873,5,3,6
VEC,0.39220772563809514,6,3,6
sigma,0.3433371017721709,7,3,6
nunfilled_mean,0.3323352539399273,8,3,6
dX,0.31581224491179455,9,3,6
dSmix,0.2953079363199325,10,3,6
bandgap_mean,0.06557095795513568,11,3,6
mag_moment_mean,1.5433890574789793,1,3,7
melting_point_mean,1.1216748047650125,2,3,7
electronegativity_range,0.727591482745914,3,3,7
dSmix,0.5401958212779182,4,3,7
VEC,0.5383103537791134,5,3,7
dHmix,0.510991230447397,6,3,7
avg_d_valence_electrons,0.38624520638287785,7,3,7
dX,0.34634997128599854,8,3,7
nunfilled_mean,0.3086728190720305,9,3,7
sigma,0.18200858486820246,10,3,7
bandgap_mean,0.017875990628775512,11,3,7
mag_moment_mean,1.7043055081925826,1,3,8
avg_d_valence_electrons,1.012807664881069,2,3,8
melting_point_mean,0.9048302166270279,3,3,8
dHmix,0.6048789474164135,4,3,8
electronegativity_range,0.5411835848457448,5,3,8
dX,0.39449594611102085,6,3,8
dSmix,0.3591477600936946,7,3,8
VEC,0.31131848661339595,8,3,8
nunfilled_mean,0.24897548114745982,9,3,8
sigma,0.10019036292649705,10,3,8
bandgap_mean,0.043390759419596685,11,3,8
avg_d_valence_electrons,1.616399811072255,1,3,9
dSmix,1.179947447373754,2,3,9
mag_moment_mean,0.945743873440359,3,3,9
melting_point_mean,0.7875505778751698,4,3,9
dX,0.5105201447594051,5,3,9
electronegativity_range,0.4440596454002991,6,3,9
dHmix,0.3124162690753988,7,3,9
sigma,0.2959984554657665,8,3,9
nunfilled_mean,0.1883683873605339,9,3,9
VEC,0.16728694599997163,10,3,9
bandgap_mean,0.02464464881379172,11,3,9
mag_moment_mean,1.761875265700651,1,3,10
avg_d_valence_electrons,1.380836789401039,2,3,10
melting_point_mean,0.8882587722842041,3,3,10
dSmix,0.5875854138658831,4,3,10
nunfilled_mean,0.47385644786790904,5,3,10
dHmix,0.3394152669102918,6,3,10
dX,0.3390622125472265,7,3,10
sigma,0.23158360239795547,8,3,10
VEC,0.17219799865110372,9,3,10
bandgap_mean,0.016936007271204055,10,3,10
electronegativity_range,0.013475992961879216,11,3,10
mag_moment_mean,2.3091535371965723,1,4,1
melting_point_mean,0.8707385949277107,2,4,1
avg_d_valence_electrons,0.6971402094785574,3,4,1
dHmix,0.5821864304987349,4,4,1
VEC,0.5227569626817199,5,4,1
dX,0.3990606989906039,6,4,1
nunfilled_mean,0.3727689753627341,7,4,1
sigma,0.27831958752534164,8,4,1
electronegativity_range,0.24330115983209166,9,4,1
dSmix,0.19730269387586158,10,4,1
bandgap_mean,0.01375203525214288,11,4,1
