candidate,features,n_features,q_low,q_high,n,positives,TP,TN,FP,FN,precision,recall,specificity,balanced_accuracy,F1,MCC,base_rate,enrichment,repeat
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,2.5,97.5,141,34,13,96,11,21,0.5416666666666666,0.38235294117647056,0.897196261682243,0.6397746014293568,0.44827586206896547,0.3181933169203956,0.24113475177304963,2.2463235294117645,0
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,5.0,95.0,141,34,8,98,9,26,0.47058823529411764,0.23529411764705882,0.9158878504672897,0.5755909840571742,0.3137254901960785,0.19860768025436662,0.24113475177304963,1.9515570934256057,0
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,10.0,90.0,141,34,6,101,6,28,0.5,0.17647058823529413,0.9439252336448598,0.560197910940077,0.2608695652173913,0.18456837347029395,0.24113475177304963,2.073529411764706,0
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,15.0,85.0,141,34,5,102,5,29,0.5,0.14705882352941177,0.9532710280373832,0.5501649257833975,0.22727272727272727,0.16719599465115612,0.24113475177304963,2.073529411764706,0
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,20.0,80.0,141,34,4,102,5,30,0.4444444444444444,0.11764705882352941,0.9532710280373832,0.5354590434304562,0.18604651162790695,0.12410238797910933,0.24113475177304963,1.8431372549019607,0
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,0.0,100.0,141,34,23,75,32,11,0.41818181818181815,0.6764705882352942,0.7009345794392523,0.6887025838372732,0.5168539325842696,0.33098523411849046,0.24113475177304963,1.7342245989304812,0
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,2.5,97.5,141,34,15,75,32,19,0.3191489361702128,0.4411764705882353,0.7009345794392523,0.5710555250137438,0.37037037037037035,0.12895742123886605,0.24113475177304963,1.323529411764706,0
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,5.0,95.0,141,34,12,93,14,22,0.46153846153846156,0.35294117647058826,0.8691588785046729,0.6110500274876306,0.4000000000000001,0.24498777829048812,0.24113475177304963,1.9140271493212673,0
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,10.0,90.0,141,34,11,97,10,23,0.5238095238095238,0.3235294117647059,0.9065420560747663,0.6150357339197361,0.39999999999999997,0.2764355163057983,0.24113475177304963,2.1722689075630255,0
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,15.0,85.0,141,34,11,102,5,23,0.6875,0.3235294117647059,0.9532710280373832,0.6384002199010446,0.44000000000000006,0.37332160591151414,0.24113475177304963,2.8511029411764706,0
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,20.0,80.0,141,34,8,102,5,26,0.6153846153846154,0.23529411764705882,0.9532710280373832,0.594282572842221,0.3404255319148936,0.2788149824432181,0.24113475177304963,2.552036199095023,0
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,0.0,100.0,141,34,16,98,9,18,0.64,0.47058823529411764,0.9158878504672897,0.6932380428807037,0.5423728813559322,0.43286749449039563,0.24113475177304963,2.6541176470588237,0
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,2.5,97.5,141,34,10,99,8,24,0.5555555555555556,0.29411764705882354,0.9252336448598131,0.6096756459593183,0.3846153846153846,0.2811789052578479,0.24113475177304963,2.3039215686274512,0
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,5.0,95.0,141,34,6,101,6,28,0.5,0.17647058823529413,0.9439252336448598,0.560197910940077,0.2608695652173913,0.18456837347029395,0.24113475177304963,2.073529411764706,0
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,10.0,90.0,141,34,4,106,1,30,0.8,0.11764705882352941,0.9906542056074766,0.554150632215503,0.20512820512820512,0.25050155038212363,0.24113475177304963,3.3176470588235296,0
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,15.0,85.0,141,34,2,107,0,32,1.0,0.058823529411764705,1.0,0.5294117647058824,0.1111111111111111,0.21279431834822682,0.24113475177304963,4.147058823529412,0
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,20.0,80.0,141,34,0,107,0,34,0.0,0.0,1.0,0.5,0.0,0.0,0.24113475177304963,0.0,0
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,0.0,100.0,141,34,20,95,12,14,0.625,0.5882352941176471,0.8878504672897196,0.7380428807036834,0.6060606060606061,0.4862149431826122,0.24113475177304963,2.5919117647058827,0
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,2.5,97.5,141,34,12,96,11,22,0.5217391304347826,0.35294117647058826,0.897196261682243,0.6250687190764156,0.4210526315789474,0.2896043782768567,0.24113475177304963,2.163682864450128,0
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,5.0,95.0,141,34,8,98,9,26,0.47058823529411764,0.23529411764705882,0.9158878504672897,0.5755909840571742,0.3137254901960785,0.19860768025436662,0.24113475177304963,1.9515570934256057,0
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,10.0,90.0,141,34,6,101,6,28,0.5,0.17647058823529413,0.9439252336448598,0.560197910940077,0.2608695652173913,0.18456837347029395,0.24113475177304963,2.073529411764706,0
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,15.0,85.0,141,34,5,102,5,29,0.5,0.14705882352941177,0.9532710280373832,0.5501649257833975,0.22727272727272727,0.16719599465115612,0.24113475177304963,2.073529411764706,0
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,20.0,80.0,141,34,4,102,5,30,0.4444444444444444,0.11764705882352941,0.9532710280373832,0.5354590434304562,0.18604651162790695,0.12410238797910933,0.24113475177304963,1.8431372549019607,0
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,0.0,100.0,141,34,23,75,32,11,0.41818181818181815,0.6764705882352942,0.7009345794392523,0.6887025838372732,0.5168539325842696,0.33098523411849046,0.24113475177304963,1.7342245989304812,0
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,2.5,97.5,141,34,15,75,32,19,0.3191489361702128,0.4411764705882353,0.7009345794392523,0.5710555250137438,0.37037037037037035,0.12895742123886605,0.24113475177304963,1.323529411764706,0
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,5.0,95.0,141,34,12,93,14,22,0.46153846153846156,0.35294117647058826,0.8691588785046729,0.6110500274876306,0.4000000000000001,0.24498777829048812,0.24113475177304963,1.9140271493212673,0
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,10.0,90.0,141,34,11,97,10,23,0.5238095238095238,0.3235294117647059,0.9065420560747663,0.6150357339197361,0.39999999999999997,0.2764355163057983,0.24113475177304963,2.1722689075630255,0
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,15.0,85.0,141,34,11,102,5,23,0.6875,0.3235294117647059,0.9532710280373832,0.6384002199010446,0.44000000000000006,0.37332160591151414,0.24113475177304963,2.8511029411764706,0
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,20.0,80.0,141,34,8,102,5,26,0.6153846153846154,0.23529411764705882,0.9532710280373832,0.594282572842221,0.3404255319148936,0.2788149824432181,0.24113475177304963,2.552036199095023,0
HEA_VEC_sigma,VEC;sigma,2,0.0,100.0,141,34,23,71,36,11,0.3898305084745763,0.6764705882352942,0.6635514018691588,0.6700109950522265,0.49462365591397844,0.2948529113055093,0.24113475177304963,1.6166500498504488,0
HEA_VEC_sigma,VEC;sigma,2,2.5,97.5,141,34,21,78,29,13,0.42,0.6176470588235294,0.7289719626168224,0.6733095107201759,0.5,0.30994029415685914,0.24113475177304963,1.7417647058823529,0
HEA_VEC_sigma,VEC;sigma,2,5.0,95.0,141,34,16,81,26,18,0.38095238095238093,0.47058823529411764,0.7570093457943925,0.613798790544255,0.42105263157894735,0.21289072792148891,0.24113475177304963,1.5798319327731092,0
HEA_VEC_sigma,VEC;sigma,2,10.0,90.0,141,34,15,83,24,19,0.38461538461538464,0.4411764705882353,0.7757009345794392,0.6084387025838373,0.4109589041095891,0.20740215588994412,0.24113475177304963,1.5950226244343892,0
HEA_VEC_sigma,VEC;sigma,2,15.0,85.0,141,34,15,89,18,19,0.45454545454545453,0.4411764705882353,0.8317757009345794,0.6364760857614074,0.4477611940298507,0.2757712917715754,0.24113475177304963,1.8850267379679144,0
HEA_VEC_sigma,VEC;sigma,2,20.0,80.0,141,34,14,89,18,20,0.4375,0.4117647058823529,0.8317757009345794,0.6217702034084662,0.42424242424242425,0.24872196285207532,0.24113475177304963,1.8143382352941178,0
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,0.0,100.0,141,34,17,87,20,17,0.4594594594594595,0.5,0.8130841121495327,0.6565420560747663,0.47887323943661975,0.3044211659752679,0.24113475177304963,1.9054054054054057,0
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,2.5,97.5,141,34,14,94,13,20,0.5185185185185185,0.4117647058823529,0.8785046728971962,0.6451346893897746,0.45901639344262296,0.315571855270076,0.24113475177304963,2.150326797385621,0
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,5.0,95.0,141,34,9,96,11,25,0.45,0.2647058823529412,0.897196261682243,0.5809510720175921,0.33333333333333337,0.1985072003989183,0.24113475177304963,1.8661764705882355,0
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,10.0,90.0,141,34,8,104,3,26,0.7272727272727273,0.23529411764705882,0.9719626168224299,0.6036283672347443,0.3555555555555555,0.3305765019316509,0.24113475177304963,3.016042780748663,0
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,15.0,85.0,141,34,5,106,1,29,0.8333333333333334,0.14705882352941177,0.9906542056074766,0.5688565145684442,0.25,0.29185280324582424,0.24113475177304963,3.4558823529411766,0
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,20.0,80.0,141,34,2,106,1,32,0.6666666666666666,0.058823529411764705,0.9906542056074766,0.5247388675096206,0.10810810810810811,0.14666989706145558,0.24113475177304963,2.764705882352941,0
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,0.0,100.0,141,34,24,72,35,10,0.4067796610169492,0.7058823529411765,0.6728971962616822,0.6893897746014294,0.5161290322580646,0.3284618526911817,0.24113475177304963,1.6869391824526423,1
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,2.5,97.5,141,34,16,75,32,18,0.3333333333333333,0.47058823529411764,0.7009345794392523,0.585761407366685,0.39024390243902435,0.15484284754501068,0.24113475177304963,1.3823529411764706,1
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,5.0,95.0,141,34,12,93,14,22,0.46153846153846156,0.35294117647058826,0.8691588785046729,0.6110500274876306,0.4000000000000001,0.24498777829048812,0.24113475177304963,1.9140271493212673,1
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,10.0,90.0,141,34,11,97,10,23,0.5238095238095238,0.3235294117647059,0.9065420560747663,0.6150357339197361,0.39999999999999997,0.2764355163057983,0.24113475177304963,2.1722689075630255,1
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,15.0,85.0,141,34,11,97,10,23,0.5238095238095238,0.3235294117647059,0.9065420560747663,0.6150357339197361,0.39999999999999997,0.2764355163057983,0.24113475177304963,2.1722689075630255,1
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,20.0,80.0,141,34,8,97,10,26,0.4444444444444444,0.23529411764705882,0.9065420560747663,0.5709180868609126,0.30769230769230765,0.1818149312193603,0.24113475177304963,1.8431372549019607,1
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,0.0,100.0,141,34,24,69,38,10,0.3870967741935484,0.7058823529411765,0.6448598130841121,0.6753710830126443,0.5,0.3022803640781196,0.24113475177304963,1.6053130929791273,1
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,2.5,97.5,141,34,18,73,34,16,0.34615384615384615,0.5294117647058824,0.6822429906542056,0.605827377680044,0.41860465116279066,0.18765610708474972,0.24113475177304963,1.4355203619909502,1
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,5.0,95.0,141,34,14,91,16,20,0.4666666666666667,0.4117647058823529,0.8504672897196262,0.6311159978009895,0.43749999999999994,0.274091085342721,0.24113475177304963,1.935294117647059,1
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,10.0,90.0,141,34,11,95,12,23,0.4782608695652174,0.3235294117647059,0.8878504672897196,0.6056899395272127,0.3859649122807018,0.24473161197242063,0.24113475177304963,1.983375959079284,1
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,15.0,85.0,141,34,11,95,12,23,0.4782608695652174,0.3235294117647059,0.8878504672897196,0.6056899395272127,0.3859649122807018,0.24473161197242063,0.24113475177304963,1.983375959079284,1
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,20.0,80.0,141,34,9,95,12,25,0.42857142857142855,0.2647058823529412,0.8878504672897196,0.5762781748213304,0.32727272727272727,0.18329953590169423,0.24113475177304963,1.7773109243697478,1
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,0.0,100.0,141,34,21,92,15,13,0.5833333333333334,0.6176470588235294,0.8598130841121495,0.7387300714678395,0.6,0.4684061312339814,0.24113475177304963,2.419117647058824,1
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,2.5,97.5,141,34,13,96,11,21,0.5416666666666666,0.38235294117647056,0.897196261682243,0.6397746014293568,0.44827586206896547,0.3181933169203956,0.24113475177304963,2.2463235294117645,1
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,5.0,95.0,141,34,8,98,9,26,0.47058823529411764,0.23529411764705882,0.9158878504672897,0.5755909840571742,0.3137254901960785,0.19860768025436662,0.24113475177304963,1.9515570934256057,1
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,10.0,90.0,141,34,7,101,6,27,0.5384615384615384,0.20588235294117646,0.9439252336448598,0.5749037932930181,0.2978723404255319,0.22150752978360622,0.24113475177304963,2.233031674208145,1
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,15.0,85.0,141,34,5,101,6,29,0.45454545454545453,0.14705882352941177,0.9439252336448598,0.5454920285871357,0.22222222222222224,0.14512045376575125,0.24113475177304963,1.8850267379679144,1
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,20.0,80.0,141,34,4,101,6,30,0.4,0.11764705882352941,0.9439252336448598,0.5307861462341946,0.1818181818181818,0.10260795288180541,0.24113475177304963,1.6588235294117648,1
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,0.0,100.0,141,34,23,72,35,11,0.39655172413793105,0.6764705882352942,0.6728971962616822,0.6746838922484881,0.5,0.30371144648932263,0.24113475177304963,1.6445233265720083,1
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,2.5,97.5,141,34,15,75,32,19,0.3191489361702128,0.4411764705882353,0.7009345794392523,0.5710555250137438,0.37037037037037035,0.12895742123886605,0.24113475177304963,1.323529411764706,1
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,5.0,95.0,141,34,12,93,14,22,0.46153846153846156,0.35294117647058826,0.8691588785046729,0.6110500274876306,0.4000000000000001,0.24498777829048812,0.24113475177304963,1.9140271493212673,1
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,10.0,90.0,141,34,11,97,10,23,0.5238095238095238,0.3235294117647059,0.9065420560747663,0.6150357339197361,0.39999999999999997,0.2764355163057983,0.24113475177304963,2.1722689075630255,1
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,15.0,85.0,141,34,11,97,10,23,0.5238095238095238,0.3235294117647059,0.9065420560747663,0.6150357339197361,0.39999999999999997,0.2764355163057983,0.24113475177304963,2.1722689075630255,1
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,20.0,80.0,141,34,8,97,10,26,0.4444444444444444,0.23529411764705882,0.9065420560747663,0.5709180868609126,0.30769230769230765,0.1818149312193603,0.24113475177304963,1.8431372549019607,1
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,0.0,100.0,141,34,16,95,12,18,0.5714285714285714,0.47058823529411764,0.8878504672897196,0.6792193512919187,0.5161290322580646,0.38435099227413533,0.24113475177304963,2.369747899159664,1
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,2.5,97.5,141,34,12,99,8,22,0.6,0.35294117647058826,0.9252336448598131,0.6390874106652007,0.4444444444444445,0.3410683986480566,0.24113475177304963,2.488235294117647,1
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,5.0,95.0,141,34,6,101,6,28,0.5,0.17647058823529413,0.9439252336448598,0.560197910940077,0.2608695652173913,0.18456837347029395,0.24113475177304963,2.073529411764706,1
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,10.0,90.0,141,34,5,106,1,29,0.8333333333333334,0.14705882352941177,0.9906542056074766,0.5688565145684442,0.25,0.29185280324582424,0.24113475177304963,3.4558823529411766,1
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,15.0,85.0,141,34,2,106,1,32,0.6666666666666666,0.058823529411764705,0.9906542056074766,0.5247388675096206,0.10810810810810811,0.14666989706145558,0.24113475177304963,2.764705882352941,1
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,20.0,80.0,141,34,0,106,1,34,0.0,0.0,0.9906542056074766,0.4953271028037383,0.0,-0.04764129431384638,0.24113475177304963,0.0,1
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,0.0,100.0,141,34,20,92,15,14,0.5714285714285714,0.5882352941176471,0.8598130841121495,0.7240241891148983,0.5797101449275363,0.4436794381132237,0.24113475177304963,2.369747899159664,1
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,2.5,97.5,141,34,12,96,11,22,0.5217391304347826,0.35294117647058826,0.897196261682243,0.6250687190764156,0.4210526315789474,0.2896043782768567,0.24113475177304963,2.163682864450128,1
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,5.0,95.0,141,34,8,98,9,26,0.47058823529411764,0.23529411764705882,0.9158878504672897,0.5755909840571742,0.3137254901960785,0.19860768025436662,0.24113475177304963,1.9515570934256057,1
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,10.0,90.0,141,34,7,101,6,27,0.5384615384615384,0.20588235294117646,0.9439252336448598,0.5749037932930181,0.2978723404255319,0.22150752978360622,0.24113475177304963,2.233031674208145,1
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,15.0,85.0,141,34,5,101,6,29,0.45454545454545453,0.14705882352941177,0.9439252336448598,0.5454920285871357,0.22222222222222224,0.14512045376575125,0.24113475177304963,1.8850267379679144,1
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,20.0,80.0,141,34,4,101,6,30,0.4,0.11764705882352941,0.9439252336448598,0.5307861462341946,0.1818181818181818,0.10260795288180541,0.24113475177304963,1.6588235294117648,1
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,0.0,100.0,141,34,23,72,35,11,0.39655172413793105,0.6764705882352942,0.6728971962616822,0.6746838922484881,0.5,0.30371144648932263,0.24113475177304963,1.6445233265720083,1
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,2.5,97.5,141,34,15,75,32,19,0.3191489361702128,0.4411764705882353,0.7009345794392523,0.5710555250137438,0.37037037037037035,0.12895742123886605,0.24113475177304963,1.323529411764706,1
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,5.0,95.0,141,34,12,93,14,22,0.46153846153846156,0.35294117647058826,0.8691588785046729,0.6110500274876306,0.4000000000000001,0.24498777829048812,0.24113475177304963,1.9140271493212673,1
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,10.0,90.0,141,34,11,97,10,23,0.5238095238095238,0.3235294117647059,0.9065420560747663,0.6150357339197361,0.39999999999999997,0.2764355163057983,0.24113475177304963,2.1722689075630255,1
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,15.0,85.0,141,34,11,97,10,23,0.5238095238095238,0.3235294117647059,0.9065420560747663,0.6150357339197361,0.39999999999999997,0.2764355163057983,0.24113475177304963,2.1722689075630255,1
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,20.0,80.0,141,34,8,97,10,26,0.4444444444444444,0.23529411764705882,0.9065420560747663,0.5709180868609126,0.30769230769230765,0.1818149312193603,0.24113475177304963,1.8431372549019607,1
HEA_VEC_sigma,VEC;sigma,2,0.0,100.0,141,34,24,73,34,10,0.41379310344827586,0.7058823529411765,0.6822429906542056,0.694062671797691,0.5217391304347826,0.3374040617174851,0.24113475177304963,1.7160243407707911,1
HEA_VEC_sigma,VEC;sigma,2,2.5,97.5,141,34,22,79,28,12,0.44,0.6470588235294118,0.7383177570093458,0.6926882902693787,0.5238095238095238,0.3445965839872454,0.24113475177304963,1.8247058823529412,1
HEA_VEC_sigma,VEC;sigma,2,5.0,95.0,141,34,16,82,25,18,0.3902439024390244,0.47058823529411764,0.7663551401869159,0.6184716877405168,0.4266666666666667,0.22319475781972914,0.24113475177304963,1.618364418938307,1
HEA_VEC_sigma,VEC;sigma,2,10.0,90.0,141,34,15,83,24,19,0.38461538461538464,0.4411764705882353,0.7757009345794392,0.6084387025838373,0.4109589041095891,0.20740215588994412,0.24113475177304963,1.5950226244343892,1
HEA_VEC_sigma,VEC;sigma,2,15.0,85.0,141,34,15,84,23,19,0.39473684210526316,0.4411764705882353,0.7850467289719626,0.6131115997800989,0.41666666666666663,0.21810121109839425,0.24113475177304963,1.6369969040247678,1
HEA_VEC_sigma,VEC;sigma,2,20.0,80.0,141,34,14,85,22,20,0.3888888888888889,0.4117647058823529,0.794392523364486,0.6030786146234195,0.39999999999999997,0.202247897769422,0.24113475177304963,1.6127450980392157,1
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,0.0,100.0,141,34,18,88,19,16,0.4864864864864865,0.5294117647058824,0.822429906542056,0.6759208356239692,0.5070422535211269,0.34210631470442754,0.24113475177304963,2.017488076311606,1
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,2.5,97.5,141,34,16,91,16,18,0.5,0.47058823529411764,0.8504672897196262,0.660527762506872,0.48484848484848486,0.32788628962892097,0.24113475177304963,2.073529411764706,1
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,5.0,95.0,141,34,9,94,13,25,0.4090909090909091,0.2647058823529412,0.8785046728971962,0.5716052776250687,0.3214285714285714,0.1688190899623693,0.24113475177304963,1.6965240641711232,1
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,10.0,90.0,141,34,8,101,6,26,0.5714285714285714,0.23529411764705882,0.9439252336448598,0.5896096756459593,0.3333333333333333,0.25636006324320076,0.24113475177304963,2.369747899159664,1
