repeat,outer_fold,objective,candidate,features,n_features,q_low,q_high,n,positives,TP,TN,FP,FN,precision,recall,specificity,balanced_accuracy,F1,MCC,base_rate,enrichment,bounds_json
5,10,legacy_f1,SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;electronegativity_range,4,0.0,100.0,129,31,12,86,12,19,0.5,0.3870967741935484,0.8775510204081632,0.6323238973008558,0.43636363636363634,0.29057744020119564,0.24031007751937986,2.0806451612903225,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""electronegativity_range"": [0.28, 0.8099999999999998], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
6,1,robust_mcc,SHAP_top_2,mag_moment_mean;melting_point_mean,2,2.5,97.5,122,33,25,78,11,8,0.6944444444444444,0.7575757575757576,0.8764044943820225,0.8169901259788901,0.7246376811594203,0.6174861591167095,0.27049180327868855,2.567340067340067,"{""mag_moment_mean"": [0.4552691231034483, 1.1082028531026795], ""melting_point_mean"": [1533.84621781, 1769.216568888889]}"
6,1,legacy_f1,SHAP_top_2,mag_moment_mean;melting_point_mean,2,2.5,97.5,122,33,25,78,11,8,0.6944444444444444,0.7575757575757576,0.8764044943820225,0.8169901259788901,0.7246376811594203,0.6174861591167095,0.27049180327868855,2.567340067340067,"{""mag_moment_mean"": [0.4552691231034483, 1.1082028531026795], ""melting_point_mean"": [1533.84621781, 1769.216568888889]}"
6,2,robust_mcc,SHAP_VEC_anchor_2,VEC;avg_d_valence_electrons,2,0.0,100.0,124,26,16,55,43,10,0.2711864406779661,0.6153846153846154,0.5612244897959183,0.5883045525902668,0.3764705882352941,0.14395611504550104,0.20967741935483872,1.2933507170795306,"{""VEC"": [6.435, 9.0651], ""avg_d_valence_electrons"": [3.701747, 7.195]}"
6,2,legacy_f1,SHAP_VEC_anchor_4,VEC;avg_d_valence_electrons;mag_moment_mean;melting_point_mean,4,0.0,100.0,124,26,12,85,13,14,0.48,0.46153846153846156,0.8673469387755102,0.6644427001569859,0.47058823529411764,0.3337003830409248,0.20967741935483872,2.289230769230769,"{""VEC"": [6.435, 9.0651], ""avg_d_valence_electrons"": [3.701747, 7.195], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
6,3,robust_mcc,HEA_VEC_sigma,VEC;sigma,2,0.0,100.0,129,32,22,64,33,10,0.4,0.6875,0.6597938144329897,0.6736469072164948,0.5057471264367817,0.3032918218946849,0.24806201550387597,1.6125,"{""VEC"": [6.42, 9.0651], ""sigma"": [0.3399483341407857, 18.13641543376212]}"
6,3,legacy_f1,SHAP_top_3,avg_d_valence_electrons;mag_moment_mean;melting_point_mean,3,0.0,100.0,129,32,18,83,14,14,0.5625,0.5625,0.8556701030927835,0.7090850515463918,0.5625,0.4181701030927835,0.24806201550387597,2.267578125,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
6,4,robust_mcc,SHAP_top_2,mag_moment_mean;melting_point_mean,2,0.0,100.0,129,32,27,84,13,5,0.675,0.84375,0.865979381443299,0.8548646907216495,0.75,0.6627178097157876,0.24806201550387597,2.72109375,"{""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1744.7971]}"
6,4,legacy_f1,SHAP_top_2,mag_moment_mean;melting_point_mean,2,0.0,100.0,129,32,27,84,13,5,0.675,0.84375,0.865979381443299,0.8548646907216495,0.75,0.6627178097157876,0.24806201550387597,2.72109375,"{""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1744.7971]}"
6,5,robust_mcc,SHAP_top_4,avg_d_valence_electrons;mag_moment_mean;dHmix;melting_point_mean,4,0.0,100.0,126,28,20,88,10,8,0.6666666666666666,0.7142857142857143,0.8979591836734694,0.8061224489795918,0.689655172413793,0.5976143046671969,0.2222222222222222,3.0,"{""avg_d_valence_electrons"": [3.694703000000001, 7.01], ""dHmix"": [-28.05587372, 0.1721465599999995], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
