repeat,outer_fold,rule,n,positives,TP,TN,FP,FN,precision,recall,specificity,balanced_accuracy,F1,MCC,base_rate,enrichment
3,5,v2_nested,12,2,0,5,5,2,0.0,0.0,0.5,0.25,0.0,-0.37796447300922725,0.16666666666666666,0.0
3,5,v2_nested_legacy_f1,12,2,0,5,5,2,0.0,0.0,0.5,0.25,0.0,-0.37796447300922725,0.16666666666666666,0.0
3,5,v1_rederived,12,2,2,10,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,6.0
3,6,v2_nested,12,3,3,6,3,0,0.5,1.0,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.5773502691896257,0.25,2.0
3,6,v2_nested_legacy_f1,12,3,3,6,3,0,0.5,1.0,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.5773502691896257,0.25,2.0
3,6,v1_rederived,12,3,3,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,4.0
3,7,v2_nested,15,6,6,7,2,0,0.75,1.0,0.7777777777777778,0.8888888888888888,0.8571428571428571,0.7637626158259733,0.4,1.875
3,7,v2_nested_legacy_f1,15,6,6,7,2,0,0.75,1.0,0.7777777777777778,0.8888888888888888,0.8571428571428571,0.7637626158259733,0.4,1.875
3,7,v1_rederived,15,6,0,9,0,6,0.0,0.0,1.0,0.5,0.0,0.0,0.4,0.0
3,8,v2_nested,13,2,2,10,1,0,0.6666666666666666,1.0,0.9090909090909091,0.9545454545454546,0.8,0.778498944161523,0.15384615384615385,4.333333333333333
3,8,v2_nested_legacy_f1,13,2,2,10,1,0,0.6666666666666666,1.0,0.9090909090909091,0.9545454545454546,0.8,0.778498944161523,0.15384615384615385,4.333333333333333
3,8,v1_rederived,13,2,2,10,1,0,0.6666666666666666,1.0,0.9090909090909091,0.9545454545454546,0.8,0.778498944161523,0.15384615384615385,4.333333333333333
3,9,v2_nested,13,3,2,9,1,1,0.6666666666666666,0.6666666666666666,0.9,0.7833333333333333,0.6666666666666666,0.5666666666666667,0.23076923076923078,2.8888888888888884
3,9,v2_nested_legacy_f1,13,3,2,9,1,1,0.6666666666666666,0.6666666666666666,0.9,0.7833333333333333,0.6666666666666666,0.5666666666666667,0.23076923076923078,2.8888888888888884
3,9,v1_rederived,13,3,2,10,0,1,1.0,0.6666666666666666,1.0,0.8333333333333333,0.8,0.778498944161523,0.23076923076923078,4.333333333333333
3,10,v2_nested,15,5,5,5,5,0,0.5,1.0,0.5,0.75,0.6666666666666666,0.5,0.3333333333333333,1.5
3,10,v2_nested_legacy_f1,15,5,5,6,4,0,0.5555555555555556,1.0,0.6,0.8,0.7142857142857143,0.5773502691896257,0.3333333333333333,1.6666666666666667
3,10,v1_rederived,15,5,1,6,4,4,0.2,0.2,0.6,0.4,0.20000000000000004,-0.2,0.3333333333333333,0.6000000000000001
4,1,v2_nested,19,1,1,14,4,0,0.2,1.0,0.7777777777777778,0.8888888888888888,0.33333333333333337,0.3944053188733077,0.05263157894736842,3.8000000000000003
