candidate,features,n_features,q_low,q_high,MCC,balanced_accuracy,enrichment,recall,precision,F1,MCC_sd,BA_sd
HEA_VEC_sigma_dHmix_dSmix,VEC;sigma;dHmix;dSmix,4,20.0,80.0,0.12503622117307162,0.5224024189114898,2.4191176470588234,0.058823529411764705,0.5833333333333333,0.10668563300142249,0.022803896656386675,0.0024628330686669074
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,0.0,100.0,0.31849545963707937,0.6836448598130841,1.6641970228737368,0.7,0.4012957360121067,0.5099584294902981,0.026189122752167355,0.014239842552215977
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,2.5,97.5,0.18186988062151302,0.6016767454645409,1.4347285067873305,0.5117647058823529,0.34596290234588106,0.41251011406050164,0.01887474699186107,0.00952789987618725
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,5.0,95.0,0.256332699599269,0.6245739417262233,1.8506250000000002,0.4117647058823529,0.44625000000000004,0.428219696969697,0.012254450391072475,0.004514447584482645
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,10.0,90.0,0.23150202796315605,0.6014843320505772,1.9096604859335038,0.3235294117647059,0.4604855072463768,0.379998359428671,0.008250378042351042,0.00265255239344646
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,15.0,85.0,0.2455154199498765,0.6056899395272127,1.9920749764436667,0.3235294117647059,0.4803585049580473,0.3862160280336495,0.024367036669768805,0.006965943855139482
SHAP_VEC_anchor_2,VEC;mag_moment_mean,2,20.0,80.0,0.1738415562219062,0.5707943925233645,1.76117717421897,0.25,0.4246810207336523,0.31419685625346,0.02405019122668473,0.008612413191238653
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,0.0,100.0,0.32834878948273316,0.6866959868059374,1.7355520975446155,0.6705882352941177,0.4185019242306165,0.515102483163087,0.028871580480064333,0.014961229992480667
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,2.5,97.5,0.13804540315028563,0.5743815283122595,1.3680392156862746,0.4235294117647059,0.3298817966903073,0.3703855754488666,0.020119178253233637,0.009437597739533704
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,5.0,95.0,0.24789680239086573,0.611984606926883,1.929977375565611,0.35294117647058826,0.4653846153846154,0.40137931034482766,0.009199141925515483,0.002955399682400361
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,10.0,90.0,0.2764355163057983,0.6150357339197361,2.1722689075630255,0.3235294117647059,0.5238095238095238,0.39999999999999997,0.0,0.0
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,15.0,85.0,0.29125787014413357,0.6187740516767455,2.2727363445378153,0.3235294117647059,0.5480357142857143,0.4062222222222222,0.02994143142437351,0.007239221207864369
SHAP_VEC_anchor_3,VEC;mag_moment_mean;avg_d_valence_electrons,3,20.0,80.0,0.206369052712955,0.5790681693238042,1.9829308098566887,0.24411764705882355,0.47815352861792493,0.3223546850108354,0.028747823956817013,0.008137414246740764
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,0.0,100.0,0.4501016403873523,0.7248213304013194,2.419431818181818,0.5823529411764706,0.5834090909090909,0.5824945799657837,0.017031218481182102,0.005837769917370309
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,2.5,97.5,0.283929814233595,0.6215915338097856,2.1555261234928755,0.34411764705882353,0.5197722567287785,0.41387914230019496,0.013945719279046745,0.00810873454319495
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,5.0,95.0,0.20039734101267617,0.5760582737768004,1.9637543252595158,0.23529411764705882,0.47352941176470587,0.3143529411764706,0.005659404235282255,0.0014776998412001927
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,10.0,90.0,0.2030379516269501,0.5675508521165475,2.1532805429864252,0.1911764705882353,0.5192307692307693,0.27937095282146157,0.019468644799175858,0.007750680539628353
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,15.0,85.0,0.1539506701199132,0.5473611874656404,1.960427807486631,0.14705882352941177,0.4727272727272728,0.22424242424242427,0.011399760294359199,0.002413073735954807
