repeat,rule,n,positives,TP,TN,FP,FN,precision,recall,specificity,balanced_accuracy,F1,MCC,base_rate,enrichment
5,v2_nested,141,34,15,90,17,19,0.46875,0.4411764705882353,0.8411214953271028,0.6411489829576691,0.45454545454545453,0.2883041262404981,0.24113475177304963,1.943933823529412
5,v2_nested_legacy_f1,141,34,19,94,13,15,0.59375,0.5588235294117647,0.8785046728971962,0.7186641011544805,0.5757575757575757,0.4466327797941894,0.24113475177304963,2.4623161764705883
5,v1_rederived,141,34,12,93,14,22,0.46153846153846156,0.35294117647058826,0.8691588785046729,0.6110500274876306,0.4000000000000001,0.24498777829048812,0.24113475177304963,1.9140271493212673
6,v2_nested,141,34,21,88,19,13,0.525,0.6176470588235294,0.822429906542056,0.7200384826827928,0.5675675675675677,0.4176084733544107,0.24113475177304963,2.177205882352941
6,v2_nested_legacy_f1,141,34,18,91,16,16,0.5294117647058824,0.5294117647058824,0.8504672897196262,0.6899395272127542,0.5294117647058824,0.3798790544255085,0.24113475177304963,2.1955017301038064
6,v1_rederived,141,34,12,95,12,22,0.5,0.35294117647058826,0.8878504672897196,0.620395821880154,0.41379310344827586,0.27407801929426406,0.24113475177304963,2.073529411764706
7,v2_nested,141,34,20,84,23,14,0.46511627906976744,0.5882352941176471,0.7850467289719626,0.6866410115448048,0.5194805194805194,0.3468335945731881,0.24113475177304963,1.9288645690834474
7,v2_nested_legacy_f1,141,34,18,89,18,16,0.5,0.5294117647058824,0.8317757009345794,0.680593732820231,0.5142857142857143,0.3543383168920274,0.24113475177304963,2.073529411764706
7,v1_rederived,141,34,12,93,14,22,0.46153846153846156,0.35294117647058826,0.8691588785046729,0.6110500274876306,0.4000000000000001,0.24498777829048812,0.24113475177304963,1.9140271493212673
8,v2_nested,141,34,21,86,21,13,0.5,0.6176470588235294,0.8037383177570093,0.7106926882902693,0.5526315789473685,0.3941563839415972,0.24113475177304963,2.073529411764706
8,v2_nested_legacy_f1,141,34,22,85,22,12,0.5,0.6470588235294118,0.794392523364486,0.7207256734469489,0.5641025641025642,0.4075697924121451,0.24113475177304963,2.073529411764706
8,v1_rederived,141,34,12,93,14,22,0.46153846153846156,0.35294117647058826,0.8691588785046729,0.6110500274876306,0.4000000000000001,0.24498777829048812,0.24113475177304963,1.9140271493212673
9,v2_nested,141,34,14,82,25,20,0.358974358974359,0.4117647058823529,0.7663551401869159,0.5890599230346344,0.3835616438356165,0.17033789228984003,0.24113475177304963,1.48868778280543
9,v2_nested_legacy_f1,141,34,18,88,19,16,0.4864864864864865,0.5294117647058824,0.822429906542056,0.6759208356239692,0.5070422535211269,0.34210631470442754,0.24113475177304963,2.017488076311606
9,v1_rederived,141,34,12,95,12,22,0.5,0.35294117647058826,0.8878504672897196,0.620395821880154,0.41379310344827586,0.27407801929426406,0.24113475177304963,2.073529411764706
